index	lemma	information density
0	مُنْهار	0.2976036229753225
1	رَتِيب	0.3709276606554215
2	دَرّاس	0.3280583107055212
3	قارَن	0.2932264069512865
4	مَرْجِعِيَّة	0.4204134562698155
5	مُتَآمِر	0.3722135947126505
6	مُتَطَلِّب	0.3959261805347066
7	مُخْتَنِق	0.38593897409993316
8	مُصَدِّر	0.4015651621740121
9	تايْلَنْدِيّ	0.43303442880761045
10	تَهْنِئَة	0.3112000318594991
11	دِينِيّ	0.2920547547026493
12	رادِع	0.2767168754150166
13	ٱِسْتِشارِيّ	0.3525686818765003
14	مُراقَب	0.3509985498396418
15	أَضْفَى	0.21339564449067544
16	مَرِيض	0.37210263962948903
17	نَسِيجِيّ	0.35969837409272193
18	نَفْي	0.29779398410609875
19	ٱِنْتَخَب	0.3254232994379659
20	سَرِب	0.33414220336407996
21	رَدّ	0.3016330408817024
22	بَيْرُوتِيّ	0.44337399911154085
23	هُوِيَّة	0.365592352138075
24	صالُون	0.2098189418294529
25	طاعِن	0.24035434517336474
26	طاوِلَة	0.3166339278646378
27	مُكْرَه	0.32823631799331454
28	مَبْرُور	0.35825740901454217
29	تَعَدَّى	0.2639993169942747
30	أَشْرَف	0.26273926532178676
31	بَدائِيَّة	0.3681040550495516
32	مَحْظُوظ	0.30497941811348533
33	قَطَّع	0.2504083074792667
34	شارِب	0.26444601838163395
35	خَيْمَة	0.30563328984597554
36	مُنْتَصِب	0.39406966248167874
37	كابِل	0.24623633207987072
38	ٱِنْحِناء	0.25014034355099907
39	يَراعَة	0.3094405745136285
40	مُقَيَّد	0.35571497830884474
41	أَوْسَع	0.25992062288395235
42	يَقِينِيّ	0.36991496301407883
43	أَمِير	0.3803279672658173
44	هِراوَة	0.3338888372716653
45	خالِد	0.23779636271645613
46	كُلْوَة	0.2830784370195781
47	مُناخِيّ	0.3648203935936177
48	نَعِيم	0.3733011362540457
49	ٱِسْتِشارِيّ	0.3525686818765003
50	أَنْدَلُسِيّ	0.41111011935175773
51	مَيْؤُوس	0.3349435807674869
52	شَكَّل	0.2478086700589756
53	تَفاعُل	0.3065911329449558
54	مُناهِض	0.289666102339154
55	خَفِيف	0.3113835290215351
56	حَيَّر	0.320620767769032
57	ٱِحْتِياطِيّ	0.3266382929184247
58	نِقابِيّ	0.3228489606491708
59	مُصْطاف	0.2509460291819019
60	بُطُولِيّ	0.31162147625012243
61	مِصْفاة	0.2918252892202584
62	مُخَدَّر	0.34173612738776
63	سَرَّب	0.30020118008364016
64	أُورُوِيّ	0.3272767437773123
65	نُزْهَة	0.2638182544799628
66	مُخَضْرَم	0.32116032746334067
67	تَكْوِينِيّ	0.3965036791847793
68	تَحْضِيرِيّ	0.39909341616340765
69	مُعْلِن	0.3276099939460459
70	مُزْمِع	0.30055260157710456
71	مُعاصِر	0.3246582129579416
72	ٱِشْتَرَك	0.3287141782873258
73	رَجْفَة	0.26600787711406443
74	تَفَكُّر	0.3171156727919162
75	قاب	0.15272393578576568
76	تَكَتُّم	0.3343058636729264
77	مَخْرَج	0.302634313044888
78	مُجْمَل	0.32668102079218214
79	شَبِع	0.2944793540729161
80	حَفّ	0.2559687679216073
81	مُرْبِك	0.3320840118557118
82	سَنَوِيّ	0.3704937737861466
83	عِبارَة	0.3508886539621508
84	فَنّان	0.3058521057476342
85	مُنْسَجِم	0.38550084001392027
86	مُتَأَنِّي	0.4196083916652393
87	مَوْضُوع	0.31554050030425146
88	مُنَسَّق	0.3335501236493732
89	مُعْتَمِد	0.40095615390820943
90	مُحَرَّم	0.35242591721316074
91	ٱِسْتِحالَة	0.348946252503966
92	قاطِن	0.2344565480192821
93	مُنْشَقّ	0.3522744123279738
94	خَفِيف	0.3113835290215351
95	مَجَرِيّ	0.41018128503420426
96	مُناخِيّ	0.3648203935936177
97	مَسْكُونِيّ	0.4330743104757314
98	لائِمَة	0.3428554102847138
99	دَرَس	0.2546072244078106
100	باراغُوائِيّ	0.33864025251544894
101	مُتَّفِق	0.39323869819070306
102	مُتَّخَذ	0.30892357325665476
103	نُطْفَة	0.27420505682003105
104	سائِق	0.22076902820970462
105	مُتَضَرِّر	0.40733767318887376
106	خَطِّيّ	0.3383099078066399
107	شَفَة	0.1875902572267515
108	ٱِعْتَمَر	0.3821596175704168
109	ناظِر	0.25699504203109796
110	أَخْلَى	0.22741762336283478
111	مُجِيب	0.3049456617826789
112	سَرَد	0.2546072244078106
113	مُمْتَدّ	0.3757833939161137
114	بَنَوِيّ	0.3755784116086855
115	يَدَوِيّ	0.3706558129289026
116	تَبْيِيض	0.3588493546957414
117	نَصْرانِيّ	0.4298399484537478
118	فَكَّة	0.23888255021106802
