index	lemma	information density
0	치르다	0.3237014537867673
1	퍼지다	0.32634501607017746
2	소심하다	0.3873718366648835
3	같이하다	0.3938236597634377
4	탈세하다	0.38614352611049807
5	자위하다	0.38689240829041954
6	밑지다	0.32626792564993834
7	억울하다	0.3860258879419409
8	건너가다	0.2772252901957942
9	급하다	0.44449213528721254
10	답장하다	0.38759175252767225
11	석방하다	0.3864052855020859
12	차리다	0.3279062034469332
13	외우다	0.31349963376374135
14	명민하다	0.3862928723240243
15	어그러지다	0.2648661840680057
16	동거하다	0.38933341021741563
17	하직하다	0.44406237244347024
18	표현되다	0.2835676153056188
19	드물다	0.3126343156257984
20	산책하다	0.38592462306938324
21	따라가다	0.2787568627373635
22	기가 막히다	0.23674374646453275
23	외식하다	0.38638164360949334
24	굴리다	0.3272745825886375
25	궤탈사하다	0.34756451169570063
26	주문하다	0.3879785412951507
27	모으다	0.3116465932008639
28	뒤보다	0.3163378509628983
29	짧다	0.3786707216526758
30	발매되다	0.2861684947942064
31	엷파랗다	0.2692769811526147
32	뽐내다	0.31399250620571967
33	덧붙다	0.31065703171800924
34	안녕하다	0.3861470803669135
35	장식하다	0.3880805395549894
36	빠르다	0.31624372536469186
37	가책되다	0.2910044117807261
38	지적하다	0.4003450107544289
39	참석하다	0.38606339727087735
40	살살하다	0.4455374622835604
41	담그다	0.31438989426653574
42	조립하다	0.3860838993369365
43	탈덕하다	0.38504555896650233
44	엉뚱하다	0.3840302855020856
45	동의하다	0.3881495093848654
46	건지다	0.3270890330060338
47	맛보다	0.3152866361729496
48	가난하다	0.39264247952903103
49	호흡하다	0.3856510763139844
50	망치다	0.3191298468351587
51	계산하다	0.3859954304913087
52	반하다	0.4449171139380807
53	덮다	0.37872347108283044
54	뺑소니치다	0.24865432178635366
55	포옹하다	0.38528028550208576
56	교미하다	0.3869998611839932
57	고집하다	0.38997082339643635
58	오염되다	0.28543807113406966
59	겹다	0.37926780213678224
60	지키다	0.32815559050526294
61	누다	0.37979797422387274
62	선호하다	0.3857760763139844
63	고문하다	0.388988784002008
64	우기다	0.32423939459929707
65	없애다	0.31210101395229256
66	싣다	0.3786707216526758
67	연잇다	0.3117694377166316
68	갑작스럽다	0.24512238475879727
69	감탄하다	0.38562718318774286
70	소개되다	0.28689600503606305
71	녹다	0.37872347108283044
72	여닫다	0.31150831529495465
73	철자하다	0.386210802923497
74	유쾌하다	0.38583837739145777
75	좋아지다	0.2888166567248993
76	다가오다	0.32268095505896294
77	잊어버리다	0.26160384487572164
78	돌아보다	0.2802805092523781
79	갈망하다	0.3875137441175556
80	헐다	0.37889631388444134
81	허접스럽다	0.24494514511633975
82	아프다	0.31698662075722445
83	복종하다	0.3861136188354192
84	정직하다	0.38729602175812483
85	갈음하다	0.3872635630091613
86	소개하다	0.3891038747524151
87	본받다	0.3100822683756761
88	망치다	0.3191298468351587
89	속이다	0.32126865539480476
90	편리하다	0.40007409689410406
91	갹출하다	0.3858239991574766
92	웃어넘기다	0.2564358019221279
93	겁먹다	0.3106535773943154
94	불구하다	0.3905123336496804
95	속이다	0.32126865539480476
96	기업하다	0.39460153618849675
97	악화시키다	0.24826631082095968
98	필요하다	0.3854761055023705
99	비롯하다	0.3879993794322679
100	미안하다	0.3879916560488211
101	전하다	0.44540420420905835
102	잇다	0.3790698541264945
103	체읍하다	0.38455435670058546
104	오래다	0.31409231663492587
105	제안하다	0.3877720803669138
106	묘사하다	0.3881898661605561
107	헤매다	0.3118067982199729
108	다락같다	0.3104572473518062
109	충실하다	0.38594399051124817
110	오목하다	0.3884003397174634
111	합격하다	0.3856202358829524
112	평가하다	0.3927762772631143
113	미끄러지다	0.25768996198395067
114	미흡하다	0.3863748611839931
