index	lemma	information density
0	pletta	0.3773318985765916
1	palabverine	0.4007643259563865
2	Portugalii	0.4216611850459342
3	tuskikaz	0.4369624604793107
4	päčlämbituz	0.3301428458703788
5	vezibul’uine	0.3344133403104824
6	lainata	0.4274582040250192
7	lätäk	0.26056448133036186
8	ristlu	0.35894165449096055
9	kiškoida	0.38563703855206927
10	vezipomp	0.3033378640697236
11	muštznam	0.369861433530994
12	ö	0.009889406764770814
13	säntedo	0.34794661500367485
14	verdutada	0.4259285856208347
15	avaruz’lendai	0.4559353661768245
16	pugetada	0.40770230648742517
17	tähklind	0.38861585265403015
18	dokumentaline	0.5379441552026522
19	eskimojähine	0.3554925856510002
20	pöudhir’	0.2901038604400478
21	mulinelang	0.4300585865807207
22	hobedtabaine	0.4663866853178946
23	harjoiteluz	0.47277877273540103
24	lekotada	0.4520073745885872
25	pit’ktukaine	0.46681123026759497
26	pehmednahkaine	0.4444991562618743
27	oteg	0.27476412501481534
28	muzalahk	0.3616059999265802
29	imel’zoitta	0.4400746583651099
30	vähäluguine	0.34480440852370575
31	vahvištoittas	0.3810092161660615
32	dollar	0.3572691111322127
33	helähtamine	0.44913916881053506
34	kuvagalerei	0.4346073968237412
35	puhlotuda	0.4203844682067407
36	kurustada	0.42706650128024126
37	jurišta	0.3854206682789296
38	pöl’küine	0.3041115525559951
39	väl’l’tahtoine	0.4465808870910085
40	muštatand	0.39580098180139467
41	abutada	0.37109803760426524
42	kadagvast	0.3709216551955804
43	sadeged	0.3312784166285511
44	kastar’	0.3536922307452912
45	järvenrand	0.3527830037749203
46	irdsijakänd	0.40295379884789584
47	abonement	0.39708674988496506
48	harveta	0.37043876823238386
49	uskotoituz	0.37697276003370794
50	čukauduzhüpked	0.3707118595949071
51	iloiteldas	0.4752156643183766
52	linda	0.40445602140630427
53	radiopagižim	0.37105015789676393
54	suks’mäduz	0.28041777385364136
55	agressivižuz’	0.37785556905768236
56	tazoitada	0.4308802219483195
57	pianokoncert	0.46237009554268216
58	homendezpäiväine	0.36985217421314587
59	kertehtida	0.4771259805542069
60	mecradnik	0.43498647885616637
61	kuvastada	0.4069236495712581
62	maorj	0.2903695399623421
63	kodiživattedo	0.45131802185322073
64	lumestuda	0.4421211076329407
65	jokseluz	0.3199775161604178
66	tartutada	0.4034747375446027
67	tegetez	0.2518031287967107
68	däritada	0.4137855284636749
69	roug	0.22351362295111826
70	hirurg	0.2723549241424163
71	ahkta	0.3566146418851995
72	škurling	0.3393539864831859
73	kehumine	0.3697641159129766
74	toropt’a	0.3411409336186389
75	bembel’	0.20387062673773976
76	keskaigaine	0.40840946761739466
77	vaskine	0.4100810359780185
78	jagadandtablic	0.3929430191858746
79	naba	0.26866712277226773
80	kertläžund	0.3953076039510449
81	abidakaz	0.37182308754266263
82	korobaine	0.43228608131252594
83	ol’gkatuz	0.4020718777879234
84	ižand	0.3553073829810728
85	ozateluztaho	0.42983544887506997
86	rusked	0.3293447346323905
87	arvostelend	0.45773322303080083
88	ilovänd	0.3249321528585454
89	raudtelämoi	0.5033578898181328
90	viliktuda	0.4674954836061802
91	londusine	0.4048740328693087
92	kivitada	0.42863800740801705
93	kerita	0.4563222773330585
94	kananpoigaine	0.4219910745852254
95	bringand	0.375074935302722
96	kaitas	0.41309522860109543
97	jekophein	0.3409392662080442
98	opendamatoi	0.47915975836563135
99	tönduda	0.38257847125622796
100	rubeta	0.39091312667088224
101	but’k	0.2569260593067895
102	luvišk	0.29099492615107553
103	atelje	0.36016143296859554
104	argkeitoz	0.46081389898619346
105	ladvestada	0.4038383202247895
106	ihastuda	0.43936768896375133
107	sugida	0.38161671695642213
108	vaumita	0.4073891752252951
109	kämikod	0.31635998307593505
110	lukpähut	0.3109896731063938
111	mašt’a	0.2886276794004896
112	Kirjutuz	0.2973591697917103
113	ičetahtnik	0.441607796217606
114	termišt	0.3297337986537228
115	vedelta	0.4019230305826688
116	mecnikoita	0.45690942547239305
117	ročilaine	0.41876430184468816
118	hernehkeitoz	0.4201407445681462
119	kazda	0.33096285327520003
120	ühtenarvoižuz’	0.4495082616339342
121	vajehtez	0.3427466079414015
122	mel’kuva	0.37326834364409
123	nürkutada	0.42545512566180993
124	čukloiteldas	0.5015329334225036
125	kastelim	0.4600747412769478
126	produktivine	0.4606038820438392
127	henkta	0.41488727625343363
128	holetoi	0.36951894632729226
129	kazvmuzkeitoz	0.47928202572852185
130	lihaz	0.3483827032245409
131	koverzoitta	0.4622880837134118
132	klassrad	0.36703176408059457
133	pinkta	0.4276120897944619
134	todištamatoi	0.41340420444862136
135	painuzoiktuz’	0.4568975864891811
136	redutuk	0.377413894346744
137	nilkotada	0.4869855643050918
138	vedenvägi	0.3140284495646032
139	painatez	0.4346877143517936
140	mudapohjaine	0.45198449513570677
141	erotelda	0.44046150706853565
142	pihthed	0.3574952326111954
143	pičkaiduz	0.3941738423140093
144	päčinrahkoi	0.3942923014983502
145	löug	0.16886213854005283
146	pigahihtai	0.3684090731708384
147	pagomatk	0.3686758285490626
148	keskigä	0.2899042929877076
149	upotez	0.3248958790329787
150	kargaiduzmaht	0.4715173003483173
151	vaskvanuim	0.41088902873395533
152	gradus	0.3429099450055103
153	sud	0.22225907399549885
154	leibäd	0.30192390698973687
155	kezasport	0.42409242214974885
156	reboi	0.2926568340373656
157	muzeiharvuz’	0.4031260402654291
158	ridüuta	0.42686535539814063
159	tüništoitta	0.38162676351656344
160	segiida	0.38734222077264113
161	märganzoitta	0.4292677645523522
162	očkhodr	0.2617110416345776
163	para	0.27072315956596116
164	pakitas	0.4054425066800115
165	paginaline	0.3945310837329388
166	ülenzoitta	0.4496467811092466
167	käveluzhašk	0.3709446174566149
168	papatada	0.3538213012508048
169	ülälahjakaz	0.2895642206590313
170	anop’	0.2946970218927569
171	neidižaig	0.3835481726118221
172	puhtastuzjauh	0.34868866473654414
173	tudeita	0.47429797884937064
174	härkin	0.3016372988242148
175	todenzoitta	0.4802915075904892
176	mul’ač	0.29069578663350487
177	munajauh	0.31803503452824744
178	kogota	0.36438270994078215
179	tundmuz	0.3322384240082914
180	jokseta	0.3927182183578528
181	kazvatuzsistem	0.4654935880973829
182	kunutvarz’	0.40432652286716714
183	seižuhtada	0.44630500316003213
184	erimujuine	0.3391402978217799
185	päčinpohj	0.25973172224478314
186	lugumäraine	0.43756394497695894
187	hir’pulo	0.32156332600046306
188	akacii	0.3236135017172988
189	ehtatadas	0.39536906295246044
190	pageta	0.34778206008370255
191	ordinaline	0.46313394069265723
192	avaruz’sobad	0.35792216131137655
193	keskitada	0.46820279526409136
194	humalikaz	0.41180105927906674
195	gollištumine	0.4073337489957352
196	ostai	0.40584451064022636
197	upota	0.3737317915298904
198	täutta	0.3464052846224878
199	naine	0.3986663513896642
200	nämlötada	0.37238307252544395
201	kodiemäg	0.3518570954702694
202	lamoh	0.31668154407985133
203	kalutada	0.4304252554977837
204	azjbumag	0.2786447043979356
205	turu	0.2688529244881426
206	nügel	0.22327850705422986
207	stol	0.2673869345127309
208	rauk	0.34700404956718056
209	barabanda	0.32593950863239973
210	pahannägoine	0.3951321547034356
211	kiglutada	0.46593187458017254
212	hillenzuda	0.46101827820998686
213	tähk	0.2405252911327961
214	värohjata	0.3377404830382702
215	soja	0.264397879561835
216	lähtmine	0.37517225593734943
217	gumanine	0.4137998734204112
218	vil’da	0.35253497583183685
219	veziuit	0.3538750232039412
220	kulo	0.2718250938125153
221	noiduz’	0.3378808967238827
222	läbikävundhonuz	0.39206727456753887
223	rikoi	0.29628265903947837
224	pezelta	0.377780751386427
225	kükištuda	0.420256046597753
226	pautinpaid	0.45532647610781624
227	raid	0.3788888249228506
228	pakičaine	0.39129903952183276
229	lellida	0.4163186581529052
230	azerbaidžanalaine	0.41631958401757874
231	nilaita	0.4274582040250192
232	neidižvald	0.4033243206584967
233	lohi	0.2693296388726105
234	zakonankundlijaine	0.48359314269371273
235	tabaduda	0.37109803760426524
236	laged	0.34810634399069523
237	maid	0.3678907757332142
238	lambhannahk	0.34145671209872624
239	il’manpainuz	0.3948748737958653
240	gor’aine	0.39989489865760575
241	elo-oza	0.3194555139725841
242	kanfetkäreg	0.38686529723876023
243	kangazpu	0.3498419163248356
244	marjžom	0.26983748320343165
245	türm	0.21264346447305885
246	elimišt	0.33314672051616645
247	puhtastai	0.40881241920566685
248	keskuz	0.2794544105837326
249	kargeita	0.44345025895836354
250	kuva	0.32035756140837185
251	palik	0.37076749060794273
252	ambundhihtai	0.449601666273984
253	tedotai	0.46482563976034263
254	tundii	0.37968087701861836
255	ahtištelda	0.43941281510426716
256	pasportantarkištuz	0.47148517776118537
257	reklamradnik	0.4724584989707141
258	pal’mikoita	0.4289993539517111
259	kunigahanpoig	0.42034862412896695
260	kalatoi	0.4445373562902517
261	kitändsana	0.44770957892411634
262	mujušampun’	0.29456202592825903
263	pagištelda	0.42875610235700423
264	pakuine	0.4389191939694668
265	čudida	0.36675005208986217
266	praznikkengäd	0.4417799156098642
267	päivänteraline	0.44817612277160174
268	lainištada	0.42892241035618
269	hüvämeline	0.3128436210800212
270	konservoida	0.46675298021580564
271	modakaz	0.3595441868035151
272	čukloiteldas	0.5015329334225036
273	mecakišt	0.4008089572817041
274	harvahk	0.3061972041478656
275	pil’kištada	0.41574013285264877
276	muštatez	0.3798871914496831
277	tuhk	0.2888569263024159
278	haikargaz	0.3665935050933506
279	maidonmagu	0.4270375152446209
280	nel’l’jaugaine	0.3978866045692783
281	ulaata	0.3801484816790427
282	oligarhine	0.4322275019849357
283	kondjankarv	0.37132582228312516
284	maidonvuitte	0.4992416246419
285	holitamine	0.47362612644403723
286	tedustada	0.4236424030737265
287	kiruhaig	0.3927200686845225
288	kagrlapoštesed	0.4465006359640925
289	liigatelda	0.44906470208281407
290	kinofestival’	0.45503478042239365
291	labota	0.3478945938105914
292	sadas	0.300498944658287
293	röstta	0.3108229241208935
294	nimisana	0.3612254550079961
295	astta	0.3301946347278582
296	käregoitta	0.45163427216476265
297	videnz’	0.31762093914370065
298	koretoi	0.3915259951392155
299	rändüda	0.3107773040090788
300	babita	0.3684077959291531
301	väritada	0.405740450236731
302	takarta	0.3724738735352798
303	rok	0.2220117208623868
304	muzaverine	0.4313607696157588
305	vagolind	0.4056568144178654
306	puišt	0.2945498773995006
307	kändeltas	0.44821374875111764
308	elonkirjutai	0.5086252297605344
309	merenpoline	0.36559210711507695
310	vezitipp	0.3206695601918474
311	tropine	0.38663700319129307
312	oravanhänd	0.35746707440600806
313	gul’g	0.18265159508258216
314	arguz’	0.2959161991747948
315	kerandez	0.40751239266690875
316	vago	0.2646248503750926
317	pöl’göitelda	0.41264229147470577
318	altar’	0.33998451636379057
319	mugavoita	0.4175289703189196
320	imittuda	0.44426827377010286
321	nel’l’čoganik	0.4136140564019513
322	keväz’pol’	0.2867359866406748
323	kazvmeine	0.4150275262830202
324	parata	0.33530030260531063
325	pompata	0.347107872982057
326	gagura	0.3028725372532704
327	iginoi	0.2646689937422755
328	vägetomuz’	0.32401319840923565
329	čomitada	0.41190257818461007
330	kajahtand	0.39034911752214746
331	suug	0.16755078981805188
332	kuz’nedaline	0.4688990883329057
333	külä	0.16929376013673791
334	Vengria	0.36532146494891404
335	notkta	0.4013901825960674
336	mel’segoituz	0.39924936292850455
337	vastusenpidänd	0.4725966118714867
338	sulatada	0.4060054894171144
339	maršmuzik	0.3901908801285712
340	kadond	0.3783879999773523
341	tuhosine	0.40888900764869157
342	tahtnik	0.43254421268529025
343	arvostelemine	0.4813541743247263
344	kukerzuda	0.41223736407121636
345	arvoine	0.4150155035927323
346	opeta	0.3800037667163402
347	pärm	0.16397468203462406
348	mistine	0.36249514617424544
349	keskvozne	0.3023168387778536
350	kop	0.19672398245426068
351	terakaz	0.40471992308917915
352	peitkalatuz	0.47597329808672695
353	tipp	0.27663295020022177
354	tuhaita	0.41512526898684843
355	mugoita	0.4237077535773372
356	hilleta	0.43431522852113585
357	poltatez	0.39796724802534883
358	virusläžund	0.3452377124211984
359	anastuzplan	0.40076992544003714
360	kehundaig	0.45970482590603684
361	käskelta	0.3991787727414707
362	murutada	0.405561501819195
363	raudsep	0.38501333231430296
364	muzavihand	0.415948162215633
365	pol’šalaine	0.3940286373293654
366	kändluzsistem	0.45899567278138
367	teatrgardalei	0.4600901362112074
368	neidištada	0.44525101951742785
369	nit	0.31637505329789
370	maksunmahtai	0.46181284173533615
371	mectuzaig	0.41634811954694395
372	räzäita	0.3857676141012955
373	openuda	0.4109562703508257
374	höpsta	0.29913208464183993
375	sportmal’l’	0.37745675148311936
376	merilaiv	0.3949810162324085
377	humalzuda	0.3640606913918285
378	kavag’pu	0.30354480206673834
379	problem	0.27538064354489705
380	pit’k	0.2953291412503184
381	ristikoita	0.44013176784392766
382	intensivine	0.3497182492590601
383	muštlahj	0.35100025772965143
384	arvvald	0.3270252308564452
385	tera	0.3829808045666039
386	čakanotai	0.4272242333533022
387	järvenkara	0.3504868501616229
388	podvig	0.27380700909981903
389	levette	0.27398816271194587
390	laida	0.3830687834703362
391	noveluz’	0.3118132948810368
392	sadanz’	0.31754844166589696
393	hebonvägi	0.3101514696945642
394	jurdutand	0.4049792765740736
395	brängaita	0.38815950249058656
396	laditoitta	0.44718872610372956
397	matktavarvagon	0.4058009052625828
398	peikata	0.4384411460237994
399	äred	0.24117423183104356
400	kaks’kezraine	0.4191213449982363
401	seižutim	0.34474417728144413
402	sasketa	0.3937530238407738
403	garbolso	0.31329146724180545
404	lidnanlapt	0.44429865346094843
405	lauk	0.3511840081146673
406	tal’vduda	0.3809693275271253
407	kahteta	0.3926573546045955
408	tervhuz’keskuz	0.3537589318786012
409	kehuda	0.39899280484634786
410	čagaita	0.34715410049314227
411	čaiastii	0.3598760116238871
412	čogalaud	0.34647276884943284
413	hel’mesine	0.3276659891431807
414	sarnnik	0.3974240613893695
415	babu	0.2758846358111809
416	makstukuine	0.4895727815657917
417	keričuzmaht	0.4666269662383264
418	mudaita	0.44426827377010286
419	hizaidamine	0.42495142212403836
420	murašklehtez	0.4417586138222958
421	pordazkeskust	0.47436534130583896
422	kezaeht	0.3917709146707491
423	huhteda	0.42264219848002993
424	vänd	0.20126491259334348
425	kirodiž	0.30802469443545233
426	lugendkirj	0.4038748938705976
427	jagadandtablic	0.3929430191858746
428	eläb	0.19063494075618323
429	bul’buine	0.32568624140911073
430	hosta	0.34925843837258713
431	keihaz	0.3943573307320402
432	habžom	0.2608882768300382
433	lopmatoi	0.41793964022729174
434	ičevaldaline	0.40795073884304567
435	lu	0.19256816032658874
436	vadnaz	0.32035646239079696
437	lehtpol’	0.30387954328090266
438	časpauk	0.30982839674628504
439	päzutada	0.3757416687244243
440	harjenemine	0.39396304133582943
441	hrupahtada	0.39803991347067424
442	kehkerta	0.4046664969637165
443	nimikucund	0.3369352409973752
444	organvändim	0.406138921487324
445	konsultoida	0.509793088146283
446	meriškol	0.3531576643285393
447	abuozutez	0.39818647573635235
448	vihk	0.24660974128940918
449	paharubi	0.3590706047526457
450	buhvostind	0.3929888043434482
451	oberda	0.36044276376164824
452	tabata	0.305294655259571
453	hoikpohjaine	0.4168639965733584
454	lehkaiduz	0.46285554490836367
455	vaumištada	0.4160941689264161
456	bajutada	0.35143007301803586
457	pal’l’astoitta	0.4016226145480287
458	hüppindmägi	0.28914312844394363
459	loputoi	0.3588613196202435
460	kargeita	0.44345025895836354
461	nooda	0.3511679494457356
462	arherei	0.38182937676158324
463	kuštand	0.4156605930536266
464	paskata	0.35110628640606995
465	porosoba	0.2944406610391884
466	döloikaz	0.39915292414061077
467	čukoidas	0.41554726474779696
468	voukta	0.3959852277043406
469	värišta	0.35980893737387837
470	bombitailendim	0.483974021018613
471	voibišteldas	0.44430582813878805
472	kävuda	0.34499692810651805
473	zvängind	0.28260109945905404
474	lendahtada	0.4325177653188039
475	jumalatoi	0.43067212240879416
476	kazvahtuda	0.4086366866577133
477	mahapanendaig	0.4150781480526
478	pezakund	0.4190072564337801
479	pöl’küine	0.3041115525559951
480	tuhu	0.250540261163514
481	tal’vvara	0.334826227701133
482	čomiduda	0.39264920099712664
483	peramela	0.3455761082295678
484	jagarduz	0.32832231282405483
485	maidnedal’	0.4235076514979628
486	heidita	0.4460246387281035
487	heim	0.27276511128990677
488	ajatada	0.3346241370984026
489	amerikalaine	0.44799301765122984
490	monastir’	0.42921917332973303
491	riičitada	0.4018124978314473
492	noustatada	0.4304011290475347
493	Kalag’	0.22414620487935308
494	prihastuda	0.4483645949943035
495	nouzm	0.2635933604131188
496	anastuzvoin	0.4460198052559311
497	veikastuda	0.48314259000553145
498	tal’vpästuz	0.36264355012905275
499	bobuštelda	0.4241487772271405
500	jänduzbumag	0.34147206941636365
501	pil’kištadas	0.42095285930058035
502	haidita	0.4149039894751786
503	holduda	0.3747369215476044
504	ozrikkivi	0.29970345496217454
505	kün’z’	0.18795068028117912
506	koumo	0.25664708607539477
507	käveluzsija	0.41783351453680995
508	tung	0.27310249265529224
509	buraiduz	0.38967533749153427
510	motokezr	0.349186738095617
511	lehmännahk	0.38235343317547243
512	hval’da	0.30087919546249514
513	škol	0.210816015609429
514	ušte	0.272982407441285
515	kovenduz	0.35953563147344875
516	hakkida	0.38899737674620677
517	valuda	0.3438121951611154
518	kaidelmaz	0.4410699850141307
519	hul’vändim	0.3456627583368195
520	paraine	0.40007060716796583
521	nurvištuda	0.44571390768413266
522	mecanholituz	0.47990079620777376
523	kal’hestoitand	0.5037668648479149
524	ecindlendim	0.33384991165091066
525	paket	0.38725448467721013
526	päivkodi	0.3073009550448508
527	biznesmez’	0.2991605517582225
528	živattanaz	0.3732327833751432
529	ahjata	0.3002439068028293
530	todesine	0.40612983020019994
531	kegonsija	0.4130420326150457
532	kužu	0.17678361228477488
533	ahvenlem’	0.34683419723732734
534	arvtego	0.38134392464544425
535	puhenzoitta	0.477466613849261
536	hebonsägu	0.29906795514839796
537	voik	0.26963617088067066
538	mujušampun’	0.29456202592825903
539	röunatada	0.3969911811283048
540	maidosine	0.44205350083978184
541	tedo	0.3221428889099428
542	pakuštuda	0.3896432793790802
543	kulda	0.3813067933977517
544	sulada	0.3545562799349896
545	libestoitta	0.4365233118489759
546	kožmusenmödhine	0.3930695981361474
547	letekogo	0.3326698783912039
548	kumutada	0.41803246407512956
549	läikäitas	0.4155259193904917
550	kolkaiduz	0.44895632268794916
551	joksendtehut	0.40272625152360636
552	Äipäiv	0.17510150252138154
553	pažagsija	0.2819130935453025
554	Jumal	0.29067698364286026
555	hoikpohjaine	0.4168639965733584
556	ičevald	0.3838627388083234
557	mahtišt	0.3663832295238896
558	pohjoižpird	0.2802545397090368
559	oružj	0.19419218114511497
560	pandas	0.32563915184913256
561	veik	0.2882496510350876
562	vajehtez	0.3427466079414015
563	levitoitta	0.44215360384372504
564	magedkel’	0.37152979780398254
565	jorš	0.15026532197957224
566	londusetoi	0.44895034490991625
567	väl’l’	0.13653123700379005
568	muhahtada	0.39261249340076393
569	turbota	0.3757152837656361
570	ihotada	0.43082679582285666
571	nügüdläine	0.3223158777022104
572	mund’a	0.3487372899262253
573	škol’nik	0.30440641801932433
574	kargič	0.33947850546880914
575	uutta	0.36876467287938464
576	čudotoitand	0.45522766258708874
577	kändmaine	0.43722929793020093
578	käskend	0.30010289905546955
579	absolutine	0.4818307626693566
580	herema	0.32959127826697626
581	ozatomuz’taho	0.37409176460769855
582	neidižnimi	0.31199248481427255
583	lapkaižed	0.4086294347800813
584	pahn	0.2877206973432892
585	kazak	0.2954103945588604
586	rebitada	0.44035606478457134
587	kalganjur’	0.3592780369250564
588	ozuteluz	0.34618993220467936
589	kirjpalič	0.35286987800913094
590	lesktuda	0.46069807291803105
591	emäč	0.16742803762501407
592	lehm	0.22953914940239106
593	boksein	0.34287088153275513
594	koirduda	0.44594139239092306
595	segoituda	0.476264039196254
596	kirjutuzkel’	0.39653117027419293
597	jaugmäčpöud	0.2919400412814747
598	ehtkoline	0.4197215619123554
599	korvantaguine	0.49741671199760495
600	hüdegata	0.3625277621075348
601	oug	0.19272491756247953
602	sijaline	0.3907713689890985
603	buhkutez	0.3269184057737271
604	azotadas	0.3802246461726752
605	čihak	0.3328737296587358
606	hihtta	0.3887468152559282
607	kaukol	0.37115164532662287
608	besedoitta	0.446663958551544
609	mecnik	0.3083138137717648
610	haugoi	0.37134617290712263
611	vastatas	0.31591940210859004
612	gipskäreg	0.3156361110099132
613	armii	0.3493697770877206
614	kucundbilet	0.4202976461306309
615	jauhpuzu	0.28601741119651297
616	kadehine	0.44329843715557254
617	rubikibu	0.29363557681178576
618	bumagdengad	0.3810821567424831
619	alenzumine	0.43929620621632404
620	gardalei	0.4156237505892616
621	paginmastar’	0.4063608515032305
622	toziazj	0.382202339675705
623	kastuda	0.41506352981060773
624	beregoita	0.4235100809741176
625	kahesapäiväine	0.4079279808913868
626	mudastada	0.39361269799446197
627	nagratoitta	0.427296525905208
628	puzu	0.17424618152975924
629	ustavatoi	0.42263062292096226
630	potkač	0.3484252173716107
631	melodikaz	0.45836220073574996
632	nol	0.22365608197892672
633	ahtištuda	0.4184991778353763
634	kukša	0.3047633680246456
635	ombüuda	0.3273297393798761
636	openduzsebr	0.3543765306201269
637	kang	0.31189573467370096
638	oigendai	0.42734449421740717
639	hondtabaine	0.4663866853178946
640	lahjoičend	0.42185089518531427
641	avtoškol	0.36644464919630076
642	lähtan	0.3606411171770815
643	hubenduz	0.30539474864718924
644	muštatez	0.3798871914496831
645	uništada	0.4399502330030453
646	topotada	0.37351051201822066
647	soba	0.2692966166030749
648	bruhkahtada	0.4130504722590903
649	ühtenzoitta	0.4362873209775367
650	biljardšar	0.34646015960255244
651	reziprokine	0.37004549350385774
652	südäiikun	0.33525949287802137
653	mured	0.29973754785889456
654	biljardpalik	0.3881281397818321
655	pölvazpijo	0.3317722542852774
656	peitkožmuz	0.39545046385620813
657	počtansai	0.40302659668056245
658	adroja	0.3167721789985065
659	sel’gsuug	0.250677460216877
660	čomiteluz	0.3906679427125437
661	kaičuzrengaz	0.432272905206663
662	mel’kuviteluz	0.3987146917992877
663	värižm	0.2197044882968821
664	mähmda	0.29665585919232934
665	homeh	0.23252638879608825
666	rainiž	0.3387416981880739
667	läbutada	0.3800318147328648
668	nüblästadas	0.3653569642833096
669	sel’geta	0.3595355439464065
670	rugižsen’	0.32121113210991786
671	pideltas	0.4546621760898369
672	avangard	0.3279984299417278
673	reaktor	0.4234674979959572
674	šlukta	0.3808135513728342
675	rebigata	0.40454108572966485
676	olimpiadstadion	0.4674565042192478
677	biljardpeza	0.40066961785586347
678	videnz’	0.31762093914370065
679	valamine	0.4044436191341687
680	hronologine	0.35723472449702764
681	ahtand	0.38369914796825605
682	parveh	0.31643728103350705
683	padota	0.37351051201822066
684	ajatamine	0.4238012678404463
685	anikoita	0.45134521371752695
686	monah	0.32413917824224775
687	šoug	0.1812729414085835
688	tundištoituz	0.3842812027585427
689	madosine	0.44205350083978184
690	letkestoitta	0.4729195107050778
691	kiruhtada	0.4721675487998959
692	ličta	0.37670393898603116
693	välleta	0.3626624153494526
694	homendezbok	0.3399277828450445
695	kombčuukad	0.35900136070223204
696	koukuine	0.3809507502421495
697	rebigata	0.40454108572966485
698	azotuz	0.37919318684542813
699	genii	0.28328247389669325
700	loikotada	0.4683545212376065
701	seraine	0.40600293465248855
702	randišt	0.42576265869697666
703	mokičuz	0.31284792741559536
704	amundand	0.3652662186342435
705	kal’hestuda	0.44968179012879766
706	löčunpoigaine	0.4090879166110778
707	tul’l’astada	0.39004973648693
708	hätkestuda	0.43902132171530184
709	sada	0.300498944658287
710	ozatelda	0.42852251778343475
711	makor’	0.326392801734002
712	himonkobaiduz	0.4522846988850918
713	sil’mäline	0.31797579296376205
714	värtinmado	0.4523688821255002
715	hahkalaz	0.3196428136558386
716	hohotuz	0.287616951307282
717	kim	0.255775942069302
718	nüblästada	0.3653569642833096
719	paiže	0.33101653699108735
720	sol’läžundad	0.3674110274814701
721	lagitoi	0.40850412737477576
722	linasine	0.4094158565149325
723	peitoline	0.38979675485049803
724	turu	0.2688529244881426
725	tunduda	0.4146710402891221
726	jablon’pusad	0.37307497532554795
727	savukurda	0.3734826980777067
728	pahakeline	0.42907012860664234
729	üläopišt	0.2935388623847553
730	tomžom	0.2160732732665146
731	munapakuš	0.34335062806981037
732	vedensaub	0.3800745932732492
733	poltatez	0.39796724802534883
734	türmata	0.3182179868377361
735	tulleipä	0.3667561261421647
736	golod	0.22744618348354623
737	turušk	0.2853977857743842
738	keit	0.35913435982254777
739	rippumuz’	0.28413138794628345
740	maidokaz	0.41150108506757077
741	tedonvastaine	0.4735711908275748
742	uskta	0.3874810486543231
743	ehtpoline	0.39343587782685646
744	sinikod	0.3477501112649377
745	bahfal	0.23844994142909123
746	jalotabaine	0.44000082100721133
747	kaminpäč	0.3591444528150199
748	kehl	0.2558109456563013
749	päivitai	0.35902529860960697
750	küzundleht	0.39634963624981795
751	pirdandozuteluz	0.5234945100375781
752	pal’l’astada	0.3593074514080765
753	openduzsebranik	0.4877762376921118
754	matriarhat	0.4008726015794266
755	kantta	0.3849917205519884
756	heläidim	0.3293806741025438
757	täudenzoitta	0.4943638117068183
758	nel’l’nik	0.33226271249488176
759	bul’botuz	0.28781962481146695
760	kegota	0.3999052313364153
761	taukun	0.41176661017886423
762	mund’a	0.3487372899262253
763	udat’	0.3695984968793374
764	soitoine	0.37732700834826444
765	varastamatoi	0.4143152636090956
766	holitada	0.4448202014516493
767	ujumine	0.3200923756089948
768	turžotada	0.39362253967495214
769	kouk	0.24368359859084202
770	päiv	0.19573216350045236
771	tändoine	0.3948445652223234
772	rugižlind	0.33561907916120676
773	abrikos	0.37932751064172887
774	hihtta	0.3887468152559282
775	imetuz	0.36665192011912767
776	orfoepii	0.2800660610934958
777	sudii	0.29649687313645906
778	pazmoitez	0.4350814202185126
779	habukankünz’	0.3265387124259985
780	norembaine	0.41370911602743604
781	muhoiteldas	0.5027969404172109
782	manzikpirg	0.3957698171834909
783	häč	0.09258068911009949
784	hengestumine	0.3918948774275734
